"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"25-29 years"	"25-29"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by drowning and submersion"	"X71"	33	11875126	0.3
	"25-29 years"	"25-29"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by handgun discharge"	"X72"	527	11875126	4.4
	"25-29 years"	"25-29"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	167	11875126	1.4
	"25-29 years"	"25-29"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	1214	11875126	10.2
	"25-29 years"	"25-29"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by smoke, fire and flames"	"X76"	18	11875126	Unreliable
	"25-29 years"	"25-29"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by sharp object"	"X78"	52	11875126	0.4
	"25-29 years"	"25-29"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by jumping from a high place"	"X80"	113	11875126	1.0
	"25-29 years"	"25-29"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by jumping or lying before moving object"	"X81"	77	11875126	0.6
	"25-29 years"	"25-29"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by crashing of motor vehicle"	"X82"	11	11875126	Unreliable
	"25-29 years"	"25-29"	"Male"	"M"	"2021 (provisional)"	"2021"	"Assault by drugs, medicaments and biological substances"	"X85"	17	11875126	Unreliable
	"25-29 years"	"25-29"	"Male"	"M"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent"	"Y11"	12	11875126	Unreliable
	"25-29 years"	"25-29"	"Male"	"M"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	138	11875126	1.2
	"25-29 years"	"25-29"	"Male"	"M"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	89	11875126	0.7
	"25-29 years"	"25-29"	"Male"	"M"	"2021 (provisional)"	"2021"	"Sequelae of assault"	"Y87.1"	22	11875126	0.2
"Total"	"25-29 years"	"25-29"	"Male"	"M"	"2021 (provisional)"	"2021"			11729	11875126	98.8
"Total"	"25-29 years"	"25-29"	"Male"	"M"					11729	11875126	98.8
"Total"	"25-29 years"	"25-29"							15563	23231243	67.0
	"30-34 years"	"30-34"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	98	11269150	0.9
	"30-34 years"	"30-34"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	97	11269150	0.9
	"30-34 years"	"30-34"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	70	11269150	0.6
	"30-34 years"	"30-34"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder"	"F19.9"	36	11269150	0.3
	"30-34 years"	"30-34"	"Female"	"F"	"2021 (provisional)"	"2021"	"Alcoholic fatty liver"	"K70.0"	42	11269150	0.4
	"30-34 years"	"30-34"	"Female"	"F"	"2021 (provisional)"	"2021"	"Alcoholic hepatitis"	"K70.1"	63	11269150	0.6
	"30-34 years"	"30-34"	"Female"	"F"	"2021 (provisional)"	"2021"	"Alcoholic cirrhosis of liver"	"K70.3"	260	11269150	2.3
	"30-34 years"	"30-34"	"Female"	"F"	"2021 (provisional)"	"2021"	"Alcoholic hepatic failure"	"K70.4"	57	11269150	0.5
	"30-34 years"	"30-34"	"Female"	"F"	"2021 (provisional)"	"2021"	"Alcoholic liver disease, unspecified"	"K70.9"	39	11269150	0.3
	"30-34 years"	"30-34"	"Female"	"F"	"2021 (provisional)"	"2021"	"Other and unspecified cirrhosis of liver"	"K74.6"	89	11269150	0.8
	"30-34 years"	"30-34"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X40"	15	11269150	Unreliable
	"30-34 years"	"30-34"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	227	11269150	2.0
	"30-34 years"	"30-34"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	1401	11269150	12.4
	"30-34 years"	"30-34"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	1948	11269150	17.3
	"30-34 years"	"30-34"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to alcohol"	"X45"	57	11269150	0.5
	"30-34 years"	"30-34"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"	10	11269150	Unreliable
	"30-34 years"	"30-34"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	33	11269150	0.3
	"30-34 years"	"30-34"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	13	11269150	Unreliable
	"30-34 years"	"30-34"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	94	11269150	0.8
	"30-34 years"	"30-34"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	14	11269150	Unreliable
	"30-34 years"	"30-34"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	324	11269150	2.9
	"30-34 years"	"30-34"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by handgun discharge"	"X72"	67	11269150	0.6
	"30-34 years"	"30-34"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	15	11269150	Unreliable
	"30-34 years"	"30-34"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	167	11269150	1.5
	"30-34 years"	"30-34"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by jumping from a high place"	"X80"	33	11269150	0.3
	"30-34 years"	"30-34"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by jumping or lying before moving object"	"X81"	26	11269150	0.2
	"30-34 years"	"30-34"	"Female"	"F"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent"	"Y11"	10	11269150	Unreliable
	"30-34 years"	"30-34"	"Female"	"F"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	66	11269150	0.6
	"30-34 years"	"30-34"	"Female"	"F"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	73	11269150	0.6
"Total"	"30-34 years"	"30-34"	"Female"	"F"	"2021 (provisional)"	"2021"			5538	11269150	49.1
"Total"	"30-34 years"	"30-34"	"Female"	"F"					5538	11269150	49.1
	"30-34 years"	"30-34"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	219	11569253	1.9
	"30-34 years"	"30-34"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	243	11569253	2.1
	"30-34 years"	"30-34"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, withdrawal state"	"F10.3"	14	11569253	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder"	"F10.9"	28	11569253	0.2
	"30-34 years"	"30-34"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	12	11569253	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of cocaine, unspecified mental and behavioural disorder"	"F14.9"	10	11569253	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use"	"F15.1"	14	11569253	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder"	"F15.9"	26	11569253	0.2
	"30-34 years"	"30-34"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	96	11569253	0.8
	"30-34 years"	"30-34"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder"	"F19.9"	28	11569253	0.2
	"30-34 years"	"30-34"	"Male"	"M"	"2021 (provisional)"	"2021"	"Alcoholic fatty liver"	"K70.0"	28	11569253	0.2
	"30-34 years"	"30-34"	"Male"	"M"	"2021 (provisional)"	"2021"	"Alcoholic hepatitis"	"K70.1"	77	11569253	0.7
	"30-34 years"	"30-34"	"Male"	"M"	"2021 (provisional)"	"2021"	"Alcoholic cirrhosis of liver"	"K70.3"	442	11569253	3.8
	"30-34 years"	"30-34"	"Male"	"M"	"2021 (provisional)"	"2021"	"Alcoholic hepatic failure"	"K70.4"	82	11569253	0.7
	"30-34 years"	"30-34"	"Male"	"M"	"2021 (provisional)"	"2021"	"Alcoholic liver disease, unspecified"	"K70.9"	54	11569253	0.5
	"30-34 years"	"30-34"	"Male"	"M"	"2021 (provisional)"	"2021"	"Other and unspecified cirrhosis of liver"	"K74.6"	140	11569253	1.2
	"30-34 years"	"30-34"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X40"	13	11569253	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	648	11569253	5.6
	"30-34 years"	"30-34"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	4395	11569253	38.0
	"30-34 years"	"30-34"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	4307	11569253	37.2
	"30-34 years"	"30-34"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to alcohol"	"X45"	154	11569253	1.3
	"30-34 years"	"30-34"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	30	11569253	0.3
	"30-34 years"	"30-34"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	16	11569253	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	123	11569253	1.1
	"30-34 years"	"30-34"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	49	11569253	0.4
	"30-34 years"	"30-34"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	1306	11569253	11.3
	"30-34 years"	"30-34"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by drowning and submersion"	"X71"	35	11569253	0.3
	"30-34 years"	"30-34"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by handgun discharge"	"X72"	497	11569253	4.3
	"30-34 years"	"30-34"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	136	11569253	1.2
	"30-34 years"	"30-34"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	1138	11569253	9.8
	"30-34 years"	"30-34"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by smoke, fire and flames"	"X76"	16	11569253	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by sharp object"	"X78"	73	11569253	0.6
	"30-34 years"	"30-34"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by jumping from a high place"	"X80"	87	11569253	0.8
	"30-34 years"	"30-34"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by jumping or lying before moving object"	"X81"	54	11569253	0.5
	"30-34 years"	"30-34"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by crashing of motor vehicle"	"X82"	16	11569253	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by other specified means"	"X83"	10	11569253	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"2021 (provisional)"	"2021"	"Assault by drugs, medicaments and biological substances"	"X85"	12	11569253	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent"	"Y11"	13	11569253	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	172	11569253	1.5
	"30-34 years"	"30-34"	"Male"	"M"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	152	11569253	1.3
	"30-34 years"	"30-34"	"Male"	"M"	"2021 (provisional)"	"2021"	"Sequelae of assault"	"Y87.1"	11	11569253	Unreliable
"Total"	"30-34 years"	"30-34"	"Male"	"M"	"2021 (provisional)"	"2021"			15047	11569253	130.1
"Total"	"30-34 years"	"30-34"	"Male"	"M"					15047	11569253	130.1
"Total"	"30-34 years"	"30-34"							20585	22838403	90.1
	"35-39 years"	"35-39"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	131	10890716	1.2
	"35-39 years"	"35-39"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	151	10890716	1.4
	"35-39 years"	"35-39"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder"	"F10.9"	13	10890716	Unreliable
	"35-39 years"	"35-39"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of cocaine, unspecified mental and behavioural disorder"	"F14.9"	11	10890716	Unreliable
	"35-39 years"	"35-39"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use"	"F15.1"	12	10890716	Unreliable
	"35-39 years"	"35-39"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder"	"F15.9"	12	10890716	Unreliable
	"35-39 years"	"35-39"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	77	10890716	0.7
	"35-39 years"	"35-39"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder"	"F19.9"	26	10890716	0.2
	"35-39 years"	"35-39"	"Female"	"F"	"2021 (provisional)"	"2021"	"Alcoholic fatty liver"	"K70.0"	37	10890716	0.3
	"35-39 years"	"35-39"	"Female"	"F"	"2021 (provisional)"	"2021"	"Alcoholic hepatitis"	"K70.1"	78	10890716	0.7
	"35-39 years"	"35-39"	"Female"	"F"	"2021 (provisional)"	"2021"	"Alcoholic cirrhosis of liver"	"K70.3"	506	10890716	4.6
	"35-39 years"	"35-39"	"Female"	"F"	"2021 (provisional)"	"2021"	"Alcoholic hepatic failure"	"K70.4"	75	10890716	0.7
	"35-39 years"	"35-39"	"Female"	"F"	"2021 (provisional)"	"2021"	"Alcoholic liver disease, unspecified"	"K70.9"	52	10890716	0.5
	"35-39 years"	"35-39"	"Female"	"F"	"2021 (provisional)"	"2021"	"Other and unspecified cirrhosis of liver"	"K74.6"	202	10890716	1.9
	"35-39 years"	"35-39"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X40"	18	10890716	Unreliable
	"35-39 years"	"35-39"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	343	10890716	3.1
	"35-39 years"	"35-39"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	1324	10890716	12.2
	"35-39 years"	"35-39"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	2096	10890716	19.2
	"35-39 years"	"35-39"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to alcohol"	"X45"	57	10890716	0.5
	"35-39 years"	"35-39"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	42	10890716	0.4
	"35-39 years"	"35-39"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	11	10890716	Unreliable
